City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Grande Prairie,CA,55.1667,-118.8027,41.0,65,75,3.44,broken clouds
234,Awbari,LY,26.5921,12.7805,66.85,26,54,13.58,broken clouds
235,Joao Pinheiro,BR,-17.7425,-46.1725,70.02,89,86,4.83,light rain
236,Solhan,TR,38.9634,41.0293,27.01,63,80,2.3,broken clouds
237,Matiguas,NI,12.8373,-85.4622,73.4,64,75,9.22,broken clouds
238,Juneau,US,58.3019,-134.4197,28.4,40,90,6.91,overcast clouds
239,Gurgentepe,TR,40.7883,37.6017,35.6,80,75,6.76,broken clouds
240,Shelbyville,US,35.4834,-86.4603,59.0,100,90,6.91,overcast clouds
241,Ormara,PK,25.2088,64.6357,72.61,74,0,5.64,clear sky
242,Cobija,BO,-11.0267,-68.7692,79.21,79,63,2.46,broken clouds
243,Port Lincoln,AU,-34.7333,135.8667,58.93,55,60,10.11,broken clouds
244,Wahiawa,US,21.5028,-158.0236,78.8,83,75,10.36,broken clouds
245,Namibe,AO,-15.1961,12.1522,75.72,78,51,5.39,light rain
246,Palu,ID,-0.8917,119.8707,76.15,91,100,3.13,overcast clouds
247,Kaitangata,NZ,-46.2817,169.8464,64.99,63,1,5.01,clear sky
248,Ningbo,CN,29.8782,121.5495,55.0,93,40,4.47,mist
249,Kavieng,PG,-2.5744,150.7967,83.82,62,7,3.44,clear sky
250,Tadine,NC,-21.55,167.8833,79.23,73,92,14.07,overcast clouds
251,Atambua,ID,-9.1061,124.8925,75.65,87,97,0.96,overcast clouds
252,Belyy Yar,RU,53.6039,91.3903,3.2,60,99,15.66,snow
253,Pangnirtung,CA,66.1451,-65.7125,-13.92,99,99,0.6,overcast clouds
254,Torbay,CA,47.6666,-52.7314,37.0,64,75,8.05,broken clouds
255,Port Elizabeth,ZA,-33.918,25.5701,73.4,53,0,5.75,clear sky
256,Tezu,IN,27.9167,96.1667,67.39,68,97,4.25,overcast clouds
257,Vila,PT,42.0304,-8.1588,46.0,88,36,1.99,scattered clouds
258,Noumea,NC,-22.2763,166.4572,84.2,58,0,4.61,clear sky
259,Namatanai,PG,-3.6667,152.4333,83.73,62,12,4.41,few clouds
260,Oeiras Do Para,BR,-2.0031,-49.8544,75.69,95,100,3.42,overcast clouds
261,Svetlogorsk,BY,52.6333,29.7333,33.53,95,96,10.51,overcast clouds
262,Pombia,IT,45.653,8.6336,50.0,66,40,1.14,scattered clouds
263,Meadow Lake,US,34.8014,-106.5436,48.0,25,90,21.85,overcast clouds
264,Atar,MR,20.5169,-13.0499,68.92,11,0,8.39,clear sky
265,Isangel,VU,-19.55,169.2667,82.4,74,75,11.5,broken clouds
266,Parchim,DE,53.4263,11.8488,44.01,93,100,24.0,overcast clouds
267,Kloulklubed,PW,7.0419,134.2556,77.0,100,75,5.28,broken clouds
268,Doha,QA,25.2867,51.5333,64.4,48,0,10.36,clear sky
269,Umm Lajj,SA,25.0213,37.2685,71.17,63,91,9.19,overcast clouds
270,Tamala,RU,52.541,43.2515,19.29,93,100,15.59,snow
271,Gornyy,RU,55.1153,83.9059,-6.86,95,84,14.03,broken clouds
272,Carutapera,BR,-1.195,-46.02,76.03,93,100,5.79,overcast clouds
273,Tazovskiy,RU,67.4667,78.7,-13.34,78,100,12.06,overcast clouds
274,Ahipara,NZ,-35.1667,173.1667,70.86,51,1,3.27,clear sky
275,Varhaug,NO,58.6147,5.6457,37.99,95,50,8.93,scattered clouds
276,Paris,FR,48.8534,2.3488,42.01,87,75,16.11,light rain
277,Fare,PF,-16.7,-151.0167,82.9,75,33,12.17,scattered clouds
278,Aras,ES,42.5617,-2.356,52.0,66,90,6.91,overcast clouds
279,Saskylakh,RU,71.9167,114.0833,-7.44,98,54,6.42,broken clouds
280,Talaya,RU,61.3833,152.75,-11.67,94,86,1.66,overcast clouds
281,Beloha,MG,-25.1667,45.05,73.69,75,16,16.24,few clouds
282,Laguna,US,38.421,-121.4238,66.0,45,1,9.22,clear sky
283,Salinopolis,BR,-0.6136,-47.3561,78.62,85,96,8.23,overcast clouds
284,Mahendranagar,NP,28.9167,80.3333,63.66,40,0,4.29,clear sky
285,Mezhdurechenskiy,RU,59.6,65.9333,9.88,92,0,8.77,clear sky
286,Twentynine Palms,US,34.1356,-116.0542,64.4,13,1,17.27,clear sky
287,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,94,75,17.27,broken clouds
288,Yarmouth,US,41.7057,-70.2286,43.0,42,1,16.11,clear sky
289,Yar-Sale,RU,66.8333,70.8333,7.21,91,100,9.66,overcast clouds
290,Neiafu,TO,-18.65,-173.9833,84.2,70,20,4.61,few clouds
291,Zhigansk,RU,66.7697,123.3711,5.94,95,100,11.92,overcast clouds
292,Ban Nahin,LA,18.2418,104.2122,68.56,87,24,3.53,few clouds
293,Sobolevo,RU,54.4299,31.8996,33.73,98,100,9.78,overcast clouds
294,Waddan,LY,29.1614,16.139,65.03,32,100,16.89,overcast clouds
295,Byron Bay,AU,-28.65,153.6167,77.0,78,5,4.61,clear sky
296,Matara,LK,5.9485,80.5353,75.42,87,87,9.06,overcast clouds
297,Okhotsk,RU,59.3833,143.3,-1.73,65,48,7.99,scattered clouds
